cause,category_cause,effect,category_effect,relationship,frequency,num_papers,main_confidence,sample_evidence,pmid_list
radiolabeled derivatives,formulation,stability,stability,increases,1,1,medium,The integration of radiolabeled LHRH and FSH derivatives with nanocarriers further enhanced probe stability.,41227206
nanocarriers,formulation,stability,stability,increases,1,1,medium,The integration of radiolabeled LHRH and FSH derivatives with nanocarriers further enhanced probe stability.,41227206
macromolecular interactions,stress,biophysical instability,stability,promotes,1,1,medium,elevated macromolecular interactions.,41378112
linkers,sequence,cytotoxicity,stability,inhibits,1,1,high,The introduction of different linkers containing endosomal protease cleavage sites into the IgG-RNase did not enhance cy,24492302
MAM,formulation,specificity,quality_outcome,increases,1,1,high,"MAM offers higher specificity, sensitivity, and the ability to detect unexpected modifications",41570435
mAb,formulation,deep response,stability,induces,1,1,medium,T-DXd not only to induce deep and durable responses.,41199832
MAM,formulation,sensitivity,quality_outcome,increases,1,1,high,"MAM offers higher specificity, sensitivity, and the ability to detect unexpected modifications",41570435
clinical activity,stability,disease stability,stability,promotes,1,1,medium,Both cases highlight remarkable disease stability beyond conventional expectations.,41199832
MAM,formulation,modification detection,quality_outcome,increases,1,1,high,"MAM offers higher specificity, sensitivity, and the ability to detect unexpected modifications",41570435
mAb,formulation,clinical activity,stability,induces,1,1,medium,T-DXd has demonstrated substantial clinical activity in metastatic HER2-positive breast cancer.,41199832
procalcitonin,sequence,pain management,stability,promotes,1,1,medium,"some studies suggest that CT may have additional functions, such as those related to pain management.",41218723
MAM,formulation,monitoring DAR,quality_outcome,promotes,1,1,high,"highlighting strategies for monitoring DAR distribution, conjugation site occupancy, and stability of linkers and payloa",41570435
aggregation,stability,high molecular weight aggregate,stability,aggregates,1,1,high,Two different types of aggregates were detected: dimers and high molecular weight aggregates.,32060315
procalcitonin,sequence,osteoprotection,stability,promotes,1,1,medium,"some studies suggest that CT may have additional functions, such as those related to osteoprotection.",41218723
procalcitonin,sequence,bone structure,stability,promotes,1,1,medium,"some studies suggest that CT may have additional functions, such as those related to bone structure.",41218723
MAM,formulation,stability of linkers,quality_outcome,promotes,1,1,high,"highlighting strategies for monitoring DAR distribution, conjugation site occupancy, and stability of linkers and payloa",41570435
procalcitonin,sequence,stability,stability,increases,1,1,medium,"due to its greater stability, it is also an alternative to CT for managing medullary thyroid carcinoma.",41218723
CD304 expression,sequence,usefulness,stability,promotes,1,1,medium,The stability of CD304 expression evaluated during therapy and at relapse confirms the usefulness of this marker for MRD,22052678
ACPA assays,formulation,stability,stability,increases,1,1,medium,data indicate that ACPA has good stability and reproducibility.,19877103
ACPA assays,formulation,reproducibility,stability,increases,1,1,medium,data indicate that ACPA has good stability and reproducibility.,19877103
ACPA assays,formulation,prediction,quality_outcome,increases,1,1,medium,data indicate that ACPA has good predictive validity.,19877103
MAM,formulation,conjugation site occupancy,quality_outcome,promotes,1,1,high,"highlighting strategies for monitoring DAR distribution, conjugation site occupancy, and stability of linkers and payloa",41570435
pQDs-CD133mAb,formulation,high longitudinal relaxivity,stability,promotes,1,1,high,It exhibits a high quality fluorescent emission (ca. 630 nm) together with high longitudinal relaxivity (r = 15.2 mM s) ,32264613
Cys-linker-MMAE,formulation,toxicity to normal tissues,stability,decreases,1,1,high,helps to avoid further off-target toxicity.,32245171
amino acid sequence,sequence,primary structure,structure,stabilizes,1,1,high,"Results confirmed that ABP959 had the same amino acid sequence, similar primary structure.",34296421
amino acid sequence,sequence,higher order structure,structure,stabilizes,1,1,high,"Results confirmed that ABP959 had the same amino acid sequence, higher-order structure.",34296421
amino acid sequence,sequence,post-translational profiles,structure,stabilizes,1,1,high,"Results confirmed that ABP959 had the same amino acid sequence, post-translational profiles.",34296421
primary structure,structure,biological activity,stability,stabilizes,1,1,high,Results confirmed that ABP959 had the same primary structure... as well as biological activity.,34296421
higher order structure,structure,biological activity,stability,stabilizes,1,1,high,Results confirmed that ABP959 had... similar higher-order structure... as well as biological activity.,34296421
pQDs-CD133mAb,formulation,high quality emission,stability,promotes,1,1,high,It exhibits a high quality fluorescent emission (ca. 630 nm) together with high longitudinal relaxivity.,32264613
structural heterogeneity,structure,challenges,quality_outcome,increases,1,1,high,presents significant challenges for characterization and quality control,41570435
post-translational profiles,structure,biological activity,stability,stabilizes,1,1,high,Results confirmed that ABP959 had... similar post-translational profiles... as well as biological activity.,34296421
ABP959,formulation,analytical similarity,stability,promotes,1,1,high,"Based on these results, it can be concluded that ABP959 is analytically similar to eculizumab RP.",34296421
conjugation site,sequence,structural heterogeneity,structure,increases,1,1,high,"structural heterogeneity, arising from variable conjugation sites, drug-to-antibody ratios (DAR)",41570435
drug-antibody ratio,sequence,structural heterogeneity,structure,increases,1,1,high,"structural heterogeneity, arising from variable conjugation sites, drug-to-antibody ratios (DAR)",41570435
linker stability,sequence,structural heterogeneity,structure,increases,1,1,high,"structural heterogeneity, arising from variable conjugation sites, drug-to-antibody ratios (DAR), linker stability",41570435
long-lasting remission,stability,disease control,stability,promotes,1,1,medium,the potential for long-lasting remission after treatment discontinuation remains poorly documented.,41199832
deep response,stability,long-lasting responses,stability,promotes,1,1,medium,the potential for long-lasting remission after treatment discontinuation remains poorly documented.,41199832
post-translational modifications,sequence,structural heterogeneity,structure,increases,1,1,high,"structural heterogeneity, arising from variable conjugation sites, drug-to-antibody ratios (DAR), linker stability, and ",41570435
deep response,stability,durable responses,stability,promotes,1,1,medium,T-DXd not only to induce deep and durable responses.,41199832
pQDs-CD133mAb,formulation,colloidal stability,stability,promotes,1,1,high,the obtained pQDs-CD133mAb has a proper size (ca. 45 nm) and good colloidal stability.,32264613
silanol density,structure,subvisible particles,stability,decreases,1,1,high,increasing surface silanol density reduces the formation of subvisible particles.,39743159
therapeutic concentration,formulation,hydrodynamic nonideality,stability,increases,1,1,medium,"as a function of HSA, IgG, and therapeutic antibody concentration.",29654743
mechanical stress,stress,protein aggregates,stability,promotes,1,1,high,mAb solutions...were repeatedly dropped...to simulate mechanical stress.,39743159
mechanical stress,stress,subvisible particles,stability,promotes,1,1,high,mAb solutions...were repeatedly dropped...to simulate mechanical stress.,39743159
silanol density,structure,mechanical stress,stress,requires,1,1,medium,the effect of silanol density on the stability of monoclonal antibody formulations subjected to mechanical stress.,39743159
P9 and P10,sequence,sequence homology,sequence,increases,1,1,medium,P9 and P10 have sequence homology with highly conserved regions of several strains of FV.,26445317
temperature,stress,conformational change,stability,induces,1,1,high,lower temperature protein conformational change near 70 degrees C and a higher temperature near 85 degrees C.,32656609
sucrose concentration,formulation,conformational change,stability,decreases,1,1,high,decreasing sucrose concentration were identified by transmission mode FTIR.,32656609
ACPA assays,formulation,sensitivity,quality_outcome,increases,1,1,medium,data indicate that ACPA has high sensitivity.,19877103
Siglec15,sequence,EGFR stability,stability,promotes,1,1,high,Siglec15 promotes the migration of thyroid carcinoma cells by enhancing the EGFR protein stability.,37129515
immunogenicity,sequence,T-cell responses,stability,promotes,1,1,medium,"P8, P9 and P10 generated robust cytotoxic T-cell responses.",26445317
"GP(1,2) sequence",sequence,immunogenicity,sequence,induces,1,1,medium,"Three immunodominant sequences of the Ebola GP(1,2) have been identified using in silico methods.",26445317
